study_hours,attendance_percentage,assignment_score,previous_exam_score,sleep_hours,class_participation,final_exam_score
4.7,55.8,73.3,71.4,7.2,45.4,48.6
11.4,52.3,86.1,61.5,5.0,77.8,74.4
4.6,52.0,96.7,92.6,5.6,35.3,60.0
6.7,92.8,91.0,63.5,4.1,89.6,70.5
8.7,85.2,54.8,89.0,9.5,64.7,70.0
5.0,73.7,67.0,66.3,4.7,63.6,55.2
11.7,54.9,47.7,62.6,7.5,71.5,68.5
11.6,74.6,97.2,67.8,5.6,87.7,78.9
3.8,73.7,76.4,58.1,7.3,54.3,57.7
6.5,58.7,53.7,84.9,7.9,77.5,62.3
4.3,71.7,80.3,70.2,9.0,69.6,63.7
4.1,69.9,77.1,53.9,5.2,48.7,55.1
1.4,80.8,61.5,94.0,4.1,91.5,56.5
7.7,81.8,46.8,63.0,4.8,85.8,65.4
6.5,52.3,80.3,72.6,9.4,76.1,62.4
1.6,68.7,71.2,94.4,9.2,89.5,56.8
4.1,81.3,86.3,77.5,7.6,90.7,66.2
11.0,75.2,71.2,47.0,7.6,79.6,73.4
3.6,92.8,91.1,96.4,8.0,88.6,77.1
2.6,82.9,73.1,77.7,5.1,78.8,60.0
6.4,58.1,73.7,60.1,9.5,77.6,59.4
11.8,53.5,92.6,48.4,6.5,73.3,69.3
3.7,82.1,64.2,87.6,6.3,82.7,70.4
8.4,51.3,48.0,77.2,7.1,41.1,60.9
9.4,79.3,41.7,72.0,4.3,91.7,67.9
3.6,97.0,85.3,93.6,5.0,91.0,76.0
9.0,78.8,77.2,87.3,8.4,32.0,75.5
5.0,69.4,82.2,49.1,4.5,87.8,57.4
8.0,82.2,52.8,58.7,7.6,39.0,60.8
8.0,72.9,48.2,54.9,5.5,53.5,57.7
6.9,77.3,40.9,84.6,6.3,82.0,64.2
2.0,97.1,61.0,42.0,5.7,41.3,51.8
10.2,69.3,75.4,74.2,6.1,87.3,73.9
4.5,98.1,63.5,85.7,8.3,88.2,71.5
3.1,95.3,66.2,92.6,5.8,65.5,66.0
1.4,59.8,94.2,60.5,7.4,30.4,52.4
7.5,53.5,60.9,89.3,6.9,50.1,58.4
8.5,55.0,70.8,46.6,8.0,73.2,62.1
1.2,50.9,87.0,90.8,9.6,98.7,61.0
6.6,54.7,63.8,47.6,8.4,74.2,57.7
3.5,84.2,77.3,63.8,5.3,48.2,50.3
8.1,53.6,91.7,87.8,4.2,74.4,78.2
2.9,65.9,97.0,49.0,5.6,67.8,55.0
8.6,92.2,48.8,53.8,7.6,84.6,68.3
5.3,51.2,95.6,83.3,4.3,37.5,60.5
11.3,90.7,69.5,83.2,7.0,83.3,83.2
2.5,64.1,55.5,78.5,7.6,67.9,50.7
4.8,55.9,67.5,81.6,6.0,97.4,59.1
2.2,84.8,98.8,72.6,8.6,53.9,70.0
11.2,81.4,69.6,55.1,4.6,74.3,70.6
10.7,93.9,59.7,60.7,4.5,95.2,73.7
3.8,86.8,78.0,50.9,8.4,37.2,59.9
8.3,90.2,54.4,94.5,7.0,95.6,77.1
10.0,64.1,44.6,75.0,8.1,78.2,66.9
7.1,58.9,47.7,64.1,6.6,34.7,56.0
6.8,87.5,47.7,67.7,5.5,51.1,68.8
3.7,90.3,49.1,96.8,8.9,79.6,65.5
2.0,99.5,48.3,49.2,8.8,34.7,50.5
10.9,70.6,78.5,75.2,8.2,70.8,79.1
10.9,68.6,50.9,70.4,5.6,54.2,70.7
8.0,88.8,60.7,76.7,7.5,73.5,74.1
4.7,67.0,93.8,41.1,6.2,33.2,57.0
4.8,96.5,68.4,92.3,4.5,91.0,68.0
9.0,92.9,80.1,95.9,9.5,98.1,88.7
10.9,71.4,50.3,73.9,4.8,97.8,67.2
10.8,87.5,51.5,81.8,9.7,82.5,77.2
9.6,87.7,42.5,95.3,6.7,39.1,70.4
