study_hours,attendance_percentage,assignment_score,previous_exam_score,sleep_hours,class_participation,final_exam_score
21,91,86.8,84,5,86.4,70
20,81,63.0,51,6,77.0,67
13,87,78.0,72,4,82.6,67
22,94,82.6,75,7,89.3,71
23,60,65.4,69,8,57.0,66
26,76,64.6,57,5,72.2,68
26,96,79.2,68,7,91.2,74
12,90,68.4,54,6,85.5,64
14,82,71.8,65,8,77.9,65
23,81,64.8,54,4,77.0,66
23,74,82.4,88,8,70.3,66
23,81,82.8,84,4,77.0,68
43,86,92.6,97,7,81.7,78
23,77,72.2,69,6,73.1,67
27,89,89.0,89,6,84.6,74
26,94,85.0,79,5,89.3,74
24,66,75.6,82,9,62.7,62
18,78,77.4,77,5,74.1,66
25,76,83.8,89,5,72.2,69
15,87,66.0,52,10,82.6,68
19,70,60.4,54,7,66.5,89
17,86,67.4,55,5,81.7,66
20,95,76.4,64,7,90.2,68
34,77,78.8,80,7,73.1,69
9,96,87.6,82,4,91.2,67
24,100,91.6,86,6,95.0,75
10,64,64.0,64,7,60.8,60
17,69,77.4,83,9,65.6,66
27,98,72.8,56,7,93.1,73
20,98,69.2,50,7,93.1,68
14,64,76.6,85,6,60.8,62
16,61,76.0,86,9,58.0,62
24,66,75.0,81,8,62.7,65
16,100,77.8,63,8,95.0,69
21,67,84.4,96,7,63.6,64
20,80,88.4,94,5,76.0,67
16,94,83.2,76,9,89.3,70
33,61,83.8,99,7,58.0,70
24,84,72.6,65,7,79.8,69
8,71,73.4,75,8,67.4,61
21,94,95.2,96,7,89.3,69
16,71,72.2,73,5,67.4,63
25,87,79.2,74,7,82.6,67
15,87,67.2,54,4,82.6,65
19,69,64.2,61,7,65.6,66
23,61,59.2,58,9,58.0,63
25,76,77.2,78,4,72.2,68
13,72,68.4,66,7,68.4,65
18,92,69.2,54,8,87.4,67
17,92,81.8,75,8,87.4,68
16,78,81.0,83,6,74.1,64
31,84,85.8,87,5,79.8,71
22,84,88.8,92,6,79.8,69
12,93,81.6,74,9,88.4,67
26,77,72.8,70,4,73.1,65
33,71,78.8,84,5,67.4,68
26,71,59.0,51,6,67.4,67
11,81,81.6,82,6,77.0,67
17,78,73.2,70,7,74.1,66
28,78,75.0,73,9,74.1,70
16,64,64.6,65,5,60.8,65
23,89,69.2,56,7,84.6,69
25,69,69.6,70,7,65.6,65
14,68,66.2,65,6,64.6,63
20,77,89.6,98,5,73.1,67
1,69,85.8,97,6,65.6,61
14,83,82.4,82,6,78.8,65
18,75,87.0,95,8,71.2,66
13,78,84.0,88,8,74.1,66
30,81,72.6,67,5,77.0,69
11,68,75.2,80,6,64.6,63
17,66,63.0,61,6,62.7,65
21,95,88.4,84,10,90.2,67
29,77,62.0,52,7,73.1,69
11,76,85.6,92,5,72.2,65
27,61,71.8,79,6,58.0,65
20,80,63.8,53,6,76.0,65
14,82,89.2,94,8,77.9,67
23,82,89.2,94,8,77.9,66
21,88,91.0,93,7,83.6,72
16,67,80.2,89,7,63.6,66
20,70,78.4,84,7,66.5,65
18,92,78.8,70,7,87.4,69
21,98,73.4,57,4,93.1,68
24,65,64.4,64,7,61.8,64
30,80,72.2,67,6,76.0,69
13,69,68.4,68,5,65.6,59
33,62,71.6,78,10,58.9,68
8,73,65.2,60,7,69.4,60
19,66,61.8,59,7,62.7,62
24,88,86.8,86,6,83.6,67
22,81,62.4,50,8,77.0,68
16,66,60.6,57,5,62.7,64
19,60,67.2,72,7,57.0,65
17,92,71.0,57,6,87.4,65
16,67,85.6,98,8,63.6,63
25,84,84.0,84,6,79.8,70
22,73,72.4,72,9,69.4,66
16,83,66.8,56,7,78.8,68
25,73,70.6,69,8,69.4,66
22,63,75.0,83,8,59.8,63
25,69,86.4,98,9,65.6,66
24,68,71.6,74,6,64.6,65
15,77,81.8,85,8,73.1,66
17,86,70.4,60,4,81.7,67
24,71,77.0,81,7,67.4,66
24,60,61.2,62,6,57.0,63
20,81,68.4,60,5,77.0,66
21,84,78.6,75,6,79.8,67
28,99,76.2,61,6,94.0,71
16,84,85.2,86,7,79.8,67
23,79,89.8,97,6,75.0,69
19,83,75.2,70,7,78.8,67
19,97,78.4,66,6,92.1,72
27,93,72.6,59,6,88.4,70
25,73,71.2,70,7,69.4,67
25,69,74.4,78,7,65.6,64
28,71,69.8,69,8,67.4,67
20,80,80.6,81,8,76.0,69
24,90,85.8,83,7,85.5,68
18,80,65.0,55,8,76.0,63
22,63,76.2,85,7,59.8,68
19,89,92.6,95,7,84.6,70
21,92,67.4,51,8,87.4,66
24,72,75.6,78,6,68.4,68
15,87,82.8,80,4,82.6,67
33,77,81.8,85,5,73.1,69
14,96,79.8,69,9,91.2,66
13,94,92.2,91,7,89.3,68
27,81,78.6,77,7,77.0,69
25,88,77.2,70,7,83.6,70
24,95,89.6,86,8,90.2,74
24,80,89.6,96,7,76.0,70
20,73,83.8,91,7,69.4,66
15,90,94.2,97,8,85.5,69
20,69,65.4,63,6,65.6,64
16,76,64.0,56,8,72.2,62
26,95,84.2,77,7,90.2,70
19,89,66.8,52,7,84.6,68
15,76,80.8,84,6,72.2,65
18,69,64.8,62,7,65.6,65
22,74,73.4,73,6,70.3,71
17,71,78.2,83,9,67.4,66
15,67,71.2,74,4,63.6,61
21,90,73.2,62,8,85.5,67
21,70,84.4,94,4,66.5,65
17,78,84.0,88,8,74.1,65
17,75,78.0,80,6,71.2,65
21,99,90.6,85,8,94.0,73
11,76,73.0,71,7,72.2,62
12,63,66.6,69,5,59.8,60
16,64,60.4,58,9,60.8,61
19,84,87.6,90,8,79.8,67
22,84,75.0,69,8,79.8,70
29,77,81.8,85,6,73.1,69
25,77,69.8,65,8,73.1,66
19,62,78.8,90,5,58.9,64
20,81,65.4,55,4,77.0,68
14,80,80.6,81,5,76.0,67
20,66,80.4,90,6,62.7,64
18,64,75.4,83,6,60.8,65
22,65,77.0,85,6,61.8,66
15,64,71.2,76,6,60.8,63
23,84,80.4,78,6,79.8,68
29,68,59.0,53,4,64.6,66
19,70,65.8,63,7,66.5,63
22,67,78.4,86,7,63.6,63
24,98,97.4,97,6,93.1,74
18,94,83.8,77,9,89.3,70
21,69,79.2,86,7,65.6,68
20,73,79.6,84,7,69.4,66
21,68,87.2,100,8,64.6,63
15,80,86.0,90,5,76.0,67
20,61,73.0,81,7,58.0,62
23,87,68.4,56,8,82.6,71
29,81,73.2,68,7,77.0,72
26,96,76.2,63,5,91.2,72
33,67,82.6,93,6,63.6,68
15,92,80.0,72,7,87.4,66
25,92,83.0,77,4,87.4,70
21,65,84.8,98,5,61.8,66
33,76,85.6,92,10,72.2,72
15,67,80.2,89,8,63.6,64
15,70,62.2,57,9,66.5,63
16,71,59.0,51,8,67.4,61
7,82,66.4,56,8,77.9,62
17,76,82.6,87,7,72.2,68
15,98,81.8,71,8,93.1,68
21,65,59.6,56,9,61.8,63
22,99,91.8,87,8,94.0,70
31,69,63.6,60,7,65.6,68
26,91,83.8,79,7,86.4,72
17,74,81.8,87,8,70.3,67
15,66,74.4,80,6,62.7,61
23,94,97.6,100,8,89.3,69
12,72,72.0,72,6,68.4,61
31,86,74.0,66,6,81.7,75
27,83,69.2,60,5,78.8,68
17,79,76.6,75,6,75.0,65
10,80,87.8,93,6,76.0,67
28,89,93.8,97,10,84.6,75
19,64,85.0,99,6,60.8,64
27,87,81.0,77,8,82.6,70
10,96,86.4,80,6,91.2,67
16,62,72.2,79,7,58.9,63
20,66,70.2,73,7,62.7,65
20,89,70.4,58,4,84.6,67
17,77,62.6,53,5,73.1,86
24,76,73.6,72,6,72.2,67
14,65,61.4,59,5,61.8,63
19,80,88.4,94,7,76.0,66
21,65,78.8,88,7,61.8,65
23,79,80.2,81,5,75.0,67
24,91,67.6,52,7,86.4,69
13,70,76.6,81,6,66.5,66
11,79,80.2,81,7,75.0,64
28,100,83.2,72,6,95.0,73
22,87,84.6,83,8,82.6,66
16,94,93.4,93,9,89.3,68
29,77,83.6,88,8,73.1,70
21,91,80.8,74,9,86.4,69
27,62,62.6,63,5,58.9,67
20,65,70.4,74,6,61.8,62
32,68,85.4,97,8,64.6,68
31,76,85.0,91,9,72.2,72
19,94,68.2,51,8,89.3,69
26,74,83.0,89,5,70.3,66
24,86,69.8,59,6,81.7,70
28,88,82.6,79,8,83.6,71
14,83,87.2,90,7,78.8,65
24,74,76.4,78,6,70.3,70
26,83,75.2,70,7,78.8,65
9,74,69.2,66,7,70.3,62
13,63,64.2,65,5,59.8,62
8,100,95.2,92,8,95.0,70
18,65,80.6,91,6,61.8,66
24,63,79.8,91,7,59.8,67
29,95,76.4,64,9,90.2,72
20,72,82.8,90,7,68.4,66
30,86,65.6,52,8,81.7,68
12,73,65.2,60,5,69.4,62
10,76,76.0,76,8,72.2,64
20,70,70.0,70,8,66.5,65
22,74,63.2,56,6,70.3,66
20,76,61.6,52,7,72.2,64
8,89,84.2,81,7,84.6,67
19,80,71.6,66,7,76.0,69
12,98,69.8,51,8,93.1,68
24,62,68.0,72,6,58.9,64
22,80,71.0,65,7,76.0,68
14,83,80.6,79,9,78.8,64
17,97,96.4,96,9,92.1,71
14,62,63.8,65,8,58.9,61
20,83,93.2,100,7,78.8,68
26,94,70.0,54,10,89.3,73
14,70,60.4,54,9,66.5,64
23,95,89.6,86,7,90.2,72
17,61,76.6,87,7,58.0,65
15,89,78.2,71,6,84.6,68
19,97,77.2,64,8,92.1,71
14,86,88.4,90,8,81.7,65
17,78,90.0,98,8,74.1,66
13,62,84.2,99,7,58.9,63
32,97,88.0,82,5,92.1,74
20,79,83.8,87,7,75.0,66
16,61,79.0,91,8,58.0,63
21,88,89.2,90,6,83.6,72
19,79,91.6,100,7,75.0,69
19,65,80.6,91,9,61.8,67
24,69,77.4,83,5,65.6,66
25,63,66.6,69,7,59.8,64
17,83,81.2,80,9,78.8,67
17,85,90.4,94,7,80.8,69
18,80,71.0,65,6,76.0,65
6,93,68.4,52,7,88.4,64
11,94,77.2,66,8,89.3,65
28,85,92.8,98,7,80.8,72
30,61,78.4,90,8,58.0,66
19,88,70.6,59,7,83.6,66
23,77,61.4,51,7,73.1,67
22,83,83.0,83,8,78.8,69
38,86,81.8,79,7,81.7,73
27,74,62.0,54,6,70.3,69
19,97,97.6,98,8,92.1,68
14,65,74.6,81,7,61.8,61
10,87,84.6,83,6,82.6,63
21,60,79.8,93,8,57.0,63
15,97,79.0,67,9,92.1,68
11,65,72.8,78,7,61.8,63
16,64,73.0,79,7,60.8,66
14,73,88.0,98,5,69.4,65
30,75,64.2,57,7,71.2,68
25,69,80.4,88,7,65.6,66
20,83,80.6,79,7,78.8,66
29,78,86.4,92,6,74.1,70
20,61,79.6,92,8,58.0,61
15,73,59.8,51,7,69.4,61
29,92,74.6,63,10,87.4,71
23,88,70.6,59,7,83.6,67
14,89,79.4,73,4,84.6,70
19,88,92.2,95,5,83.6,69
15,72,58.8,50,8,68.4,65
12,64,70.0,74,6,60.8,61
26,71,84.8,94,6,67.4,68
31,93,94.8,96,5,88.4,74
12,99,89.4,83,6,94.0,67
23,80,86.6,91,7,76.0,70
16,60,63.6,66,8,57.0,59
17,66,64.8,64,5,62.7,64
16,73,60.4,52,8,69.4,66
15,83,78.2,75,5,78.8,63
20,63,69.0,73,8,59.8,61
15,98,80.6,69,8,93.1,68
22,75,63.6,56,6,71.2,65
20,97,76.0,62,5,92.1,69
19,91,72.4,60,8,86.4,68
15,90,94.2,97,6,85.5,69
17,84,92.4,98,7,79.8,67
25,85,64.0,50,8,80.8,70
23,86,69.8,59,8,81.7,68
14,85,90.4,94,6,80.8,67
21,82,64.0,52,7,77.9,67
25,99,97.8,97,6,94.0,75
10,89,77.0,69,8,84.6,63
23,91,82.6,77,9,86.4,70
16,95,90.8,88,6,90.2,70
23,69,64.8,62,7,65.6,64
15,63,58.2,55,8,59.8,59
9,79,85.6,90,7,75.0,63
10,81,91.8,99,8,77.0,67
20,93,87.0,83,7,88.4,68
22,78,85.8,91,5,74.1,68
15,83,91.4,97,7,78.8,97
24,81,69.0,61,9,77.0,66
10,62,65.6,68,7,58.9,61
20,85,70.6,61,9,80.8,70
13,93,69.0,53,4,88.4,65
16,66,78.6,87,8,62.7,64
20,84,67.8,57,6,79.8,69
15,84,66.6,55,6,79.8,64
18,67,67.6,68,9,63.6,61
26,65,57.8,53,7,61.8,64
17,99,75.0,59,6,94.0,68
25,76,62.2,53,8,72.2,67
13,69,84.0,94,4,65.6,62
23,67,80.2,89,9,63.6,66
29,87,90.6,93,10,82.6,72
5,84,89.4,93,8,79.8,68
15,86,92.6,97,8,81.7,71
23,64,61.0,59,7,60.8,65
19,96,95.4,95,5,91.2,68
22,76,76.0,76,9,72.2,65
16,73,64.0,58,8,69.4,64
21,78,81.0,83,8,74.1,65
19,76,70.0,66,8,72.2,65
27,95,69.2,52,7,90.2,73
22,97,71.2,54,6,92.1,72
22,72,71.4,71,10,68.4,64
18,95,92.6,91,7,90.2,69
17,91,76.0,66,6,86.4,69
17,97,91.6,88,9,92.1,70
22,70,59.8,53,7,66.5,83
17,83,75.2,70,7,78.8,68
22,71,62.0,56,9,67.4,84
32,93,93.0,93,8,88.4,75
25,60,82.8,98,8,57.0,67
18,83,72.8,66,5,78.8,69
27,74,89.0,99,8,70.3,71
18,73,82.0,88,5,69.4,66
8,86,64.4,50,6,81.7,65
14,94,82.0,74,7,89.3,70
9,84,88.8,92,7,79.8,66
18,94,83.8,77,8,89.3,74
20,71,74.6,77,8,67.4,66
30,81,75.6,72,8,77.0,68
22,78,73.2,70,5,74.1,68
19,60,54.6,51,10,57.0,62
25,82,81.4,81,7,77.9,71
7,86,87.2,88,9,81.7,63
21,84,87.6,90,4,79.8,69
25,89,84.2,81,7,84.6,71
11,83,73.4,67,5,78.8,66
27,63,55.8,51,6,59.8,64
22,65,83.0,95,7,61.8,65
18,84,76.2,71,6,79.8,69
24,71,76.4,80,9,67.4,66
34,63,61.2,60,10,59.8,67
21,77,65.0,57,6,73.1,65
21,82,65.2,54,6,77.9,65
17,73,83.2,90,5,69.4,67
15,89,84.8,82,9,84.6,66
25,86,83.0,81,7,81.7,69
15,73,86.8,96,7,69.4,64
20,90,70.8,58,7,85.5,70
17,86,69.8,59,7,81.7,68
23,85,69.4,59,6,80.8,68
22,82,75.4,71,7,77.9,69
26,60,80.4,94,7,57.0,68
17,88,91.6,94,8,83.6,70
18,75,78.0,80,5,71.2,67
14,98,89.0,83,7,93.1,72
17,93,94.2,95,6,88.4,69
22,84,82.2,81,7,79.8,69
25,70,64.6,61,8,66.5,64
14,68,78.2,85,6,64.6,63
25,74,82.4,88,9,70.3,70
28,79,80.8,82,4,75.0,70
22,72,67.2,64,9,68.4,66
31,81,74.4,70,9,77.0,70
15,67,71.2,74,6,63.6,66
13,99,73.8,57,6,94.0,68
9,64,69.4,73,5,60.8,61
29,97,73.6,58,8,92.1,72
24,97,83.8,75,7,92.1,69
20,81,64.2,53,6,77.0,63
22,89,93.8,97,5,84.6,72
13,77,68.0,62,10,73.1,65
35,85,77.8,73,6,80.8,74
21,74,60.8,52,7,70.3,62
21,72,64.8,60,7,68.4,65
24,83,84.2,85,6,78.8,68
23,80,65.6,56,6,76.0,66
21,83,81.8,81,6,78.8,71
15,71,58.4,50,8,67.4,62
23,75,73.8,73,6,71.2,65
31,63,76.8,86,9,59.8,68
28,62,82.4,96,6,58.9,70
30,70,73.0,75,8,66.5,67
17,63,80.4,92,4,59.8,63
14,64,79.6,90,6,60.8,63
19,93,76.2,65,6,88.4,69
20,62,81.2,94,5,58.9,66
27,86,83.6,82,7,81.7,70
10,71,61.4,55,7,67.4,63
29,95,96.2,97,4,90.2,72
19,79,67.0,59,10,75.0,65
17,72,73.2,74,7,68.4,67
14,81,76.2,73,7,77.0,63
10,75,78.6,81,9,71.2,65
25,83,83.0,83,8,78.8,67
20,65,63.2,62,7,61.8,80
12,100,80.8,68,4,95.0,68
12,77,65.0,57,8,73.1,63
18,74,63.2,56,6,70.3,64
30,88,89.8,91,9,83.6,73
18,75,82.8,88,6,71.2,66
11,93,80.4,72,6,88.4,66
19,78,64.2,55,5,74.1,66
18,89,78.8,72,5,84.6,69
4,64,64.6,65,7,60.8,59
20,94,91.0,89,7,89.3,68
19,89,68.6,55,6,84.6,67
24,68,71.0,73,10,64.6,64
31,66,74.4,80,8,62.7,65
27,73,88.6,99,7,69.4,68
18,99,72.0,54,4,94.0,70
13,70,61.6,56,8,66.5,62
35,78,90.6,99,10,74.1,72
20,61,66.4,70,7,58.0,62
20,76,82.6,87,6,72.2,68
20,83,86.6,89,7,78.8,69
21,98,78.8,66,5,93.1,73
19,81,69.0,61,8,77.0,69
17,93,75.6,64,9,88.4,67
17,82,85.6,88,6,77.9,65
20,62,80.0,92,6,58.9,63
17,73,80.2,85,7,69.4,66
16,83,76.4,72,6,78.8,66
21,98,77.0,63,5,93.1,70
18,94,80.2,71,6,89.3,69
29,69,85.2,96,6,65.6,70
4,69,83.4,93,9,65.6,58
27,68,66.8,66,9,64.6,67
27,97,78.4,66,9,92.1,73
8,94,91.0,89,8,89.3,66
18,91,79.0,71,7,86.4,70
18,76,77.8,79,6,72.2,67
12,80,74.6,71,9,76.0,60
15,79,68.8,62,8,75.0,65
13,70,63.4,59,5,66.5,63
31,80,66.2,57,6,76.0,72
26,61,55.0,51,5,58.0,62
28,65,64.4,64,4,61.8,70
24,95,73.4,59,8,90.2,70
13,90,73.8,63,5,85.5,64
17,77,63.2,54,6,73.1,64
23,81,72.6,67,7,77.0,67
13,75,75.6,76,7,71.2,64
24,90,94.2,97,6,85.5,72
19,91,76.6,67,9,86.4,66
18,91,67.6,52,5,86.4,66
24,89,76.4,68,5,84.6,71
23,68,81.8,91,8,64.6,66
18,74,69.8,67,6,70.3,64
27,79,70.6,65,6,75.0,66
14,73,86.8,96,5,69.4,62
24,90,75.0,65,8,85.5,70
24,73,88.6,99,7,69.4,69
18,66,81.6,92,7,62.7,65
22,76,80.8,84,6,72.2,70
12,99,87.6,80,6,94.0,70
26,69,64.2,61,7,65.6,67
19,84,85.8,87,8,79.8,69
17,77,71.0,67,9,73.1,62
26,63,69.6,74,9,59.8,67
16,80,65.0,55,8,76.0,65
12,88,74.2,65,8,83.6,65
11,81,78.0,76,5,77.0,65
24,95,81.8,73,6,90.2,69
12,72,69.0,67,8,68.4,63
31,63,69.6,74,7,59.8,66
8,97,91.0,87,8,92.1,67
30,75,73.8,73,8,71.2,69
21,83,78.2,75,8,78.8,67
19,92,87.8,85,5,87.4,70
17,73,84.4,92,7,69.4,67
22,89,81.2,76,6,84.6,70
20,65,84.2,97,6,61.8,65
27,72,69.6,68,4,68.4,63
21,66,64.2,63,7,62.7,64
21,92,87.8,85,4,87.4,69
18,69,63.0,59,8,65.6,60
20,89,92.6,95,9,84.6,69
22,98,80.6,69,8,93.1,72
10,81,83.4,85,7,77.0,63
12,82,80.2,79,9,77.9,63
24,78,63.0,53,7,74.1,66
21,73,80.2,85,6,69.4,70
19,79,85.6,90,7,75.0,68
20,84,93.0,99,10,79.8,69
22,99,82.2,71,5,94.0,72
17,98,84.2,75,5,93.1,67
15,94,94.0,94,8,89.3,68
21,96,76.2,63,7,91.2,70
14,79,67.0,59,6,75.0,68
22,86,68.6,57,5,81.7,69
10,96,97.8,99,4,91.2,68
26,76,68.8,64,5,72.2,66
23,98,92.0,88,9,93.1,72
22,77,74.0,72,7,73.1,67
26,84,70.8,62,4,79.8,70
30,88,92.8,96,9,83.6,73
26,98,83.0,73,9,93.1,73
9,70,74.8,78,9,66.5,60
12,90,72.6,61,6,85.5,67
16,81,72.0,66,7,77.0,69
20,71,80.6,87,7,67.4,65
23,91,76.6,67,9,86.4,70
16,82,77.8,75,6,77.9,68
21,86,68.0,56,6,81.7,66
15,73,85.0,93,8,69.4,65
16,79,83.8,87,9,75.0,64
12,85,86.8,88,7,80.8,67
14,76,65.8,59,8,72.2,65
12,68,72.2,75,7,64.6,64
14,98,69.8,51,7,93.1,67
26,80,71.6,66,6,76.0,70
14,89,75.8,67,5,84.6,63
36,76,88.0,96,6,72.2,71
23,74,89.6,100,6,70.3,68
21,76,79.0,81,7,72.2,67
15,76,76.0,76,9,72.2,67
24,82,76.0,72,7,77.9,68
17,82,63.4,51,6,77.9,66
21,80,86.0,90,8,76.0,68
35,65,76.4,84,7,61.8,70
19,80,81.2,82,8,76.0,67
27,67,80.8,90,6,63.6,67
16,65,83.6,96,9,61.8,62
20,97,80.2,69,9,92.1,67
31,84,76.2,71,7,79.8,70
16,86,93.8,99,8,81.7,72
31,76,80.2,83,9,72.2,70
24,96,94.2,93,6,91.2,94
17,86,71.0,61,7,81.7,66
